Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,8,spades,5,coins,1,clubs,South,South,2
2,3,clubs,7,clubs,1,clubs,South,North,10
3,9,cups,10,spades,1,clubs,North,North,7
4,10,cups,2,coins,1,clubs,North,North,4
5,3,spades,,,1,clubs,North,North,10
6,2,cups,7,cups,1,clubs,South,South,0
7,4,clubs,1,coins,1,clubs,South,North,11
8,5,cups,3,cups,1,clubs,North,South,10
9,,,4,cups,1,clubs,South,South,0
10,8,clubs,6,clubs,1,clubs,South,North,2
11,4,coins,8,coins,1,clubs,North,South,2
12,5,clubs,6,spades,1,clubs,South,North,0
13,9,coins,4,coins,1,clubs,North,North,3
14,7,spades,5,spades,1,clubs,North,North,0
15,3,coins,2,spades,1,clubs,North,North,10
16,6,cups,9,spades,1,clubs,North,North,3
17,1,spades,10,clubs,1,clubs,North,South,15
18,8,cups,1,cups,1,clubs,South,South,13
19,10,coins,4,spades,1,clubs,South,South,4
20,3,coins,1,clubs,1,clubs,South,South,21
