Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,6,clubs,4,spades,3,cups,North,North,0
2,7,clubs,,,3,cups,North,North,0
3,,,5,coins,3,cups,South,South,0
4,6,coins,10,coins,3,cups,North,South,4
5,,,10,spades,3,cups,South,South,4
6,2,cups,1,cups,3,cups,North,South,11
7,4,coins,7,cups,3,cups,South,South,0
8,5,spades,3,clubs,3,cups,South,South,10
9,,,9,clubs,3,cups,South,South,3
10,3,coins,4,clubs,3,cups,North,North,10
11,,,6,spades,3,cups,South,South,0
12,4,cups,8,clubs,3,cups,South,North,2
13,2,spades,7,coins,3,cups,North,North,0
14,,,8,spades,3,cups,South,South,2
15,,,1,clubs,3,cups,South,South,11
16,2,clubs,8,coins,3,cups,North,North,2
17,3,spades,8,cups,3,cups,North,South,12
18,,,5,clubs,3,cups,South,South,0
19,,,1,coins,3,cups,South,South,11
20,1,spades,7,spades,3,cups,North,North,11
